"Shopify Contact Id",Status,"First Name","Last Name",Email,Optin,Country,Mobile,Children,"ZIP Code","Date of Birth",Gender,Fax,"raw 4","Demo Emarsys","predict last abandoned date","Zip Code (office)","Phone (office)",URL,State
5714642706,disabled,Abhay,Singh,abhaysingh@gmail.com,1,1,1,0.03,testing,,,Abhay,Singh,Synapse,test1,test2,Noida,"Andaman and Nicobar",India,201305
5714639954,disabled,Rahul,Singh,rahulsingh@gmail.com,1,1,1,0.00,"it is a test account.",1,,Rahul,Singh,Synapse,test1,test2,Noida,"Uttar Pradesh",India,201305
5714522898,disabled,Amit,Singh,amitsingh@gmail.com,1,1,0,0.00,"it is a test account.",1,,AMit,Singh,Synapse,test1,test2,Noida,"Uttar Pradesh",India,201305
5709046930,disabled,opt,opt,synapseindia8@gmail.com,1,1,2,0.00,,,,opt,opt,,"some address","some address two","some city 1",,Azerbaijan,123123
5700095378,disabled,abhilash,singh,abhilashpratapsingh@gmail.com,2,1,1,0.00,"testing account",1,,abhilash,singh,test,test1,test2,noida,"Uttar Pradesh",India,201305
5699955986,disabled,Anurag,Singh,anurag@gmail.com,1,1,1,0.00,testing,1,,Anurag,Singh,Synapse,,,noida,"Uttar Pradesh",India,201305
5699929490,disabled,qq,ww,abcd@gmail.com,1,1,0,0.00,,1,,asdfqw,qwert,test,test2,,noida,"Uttar Pradesh",India,201305
5699880658,disabled,test,test1,test123@gmail.com,1,1,0,0.00,testing,1,,test,test1,test2,test3,,noida,"Uttar Pradesh",India,201305
5699784338,disabled,Shashank,Shekhar,shashank@gmail.com,1,1,2,0.00,"its my test account.",1,,Shashank,Shekhar,synapse,b-10,,noida,"Uttar Pradesh",India,201305
5699754066,disabled,Urdesh,Kumar,urdesh@gmail.com,1,1,1,0.00,"its my test account.",1,,Urdesh,Kumar,Synapse,B-10,,Noida,"Uttar Pradesh",India,201305
5521741202,disabled,ravi111,kumar1111,ravikumar@gmail.com,1,1,1,0.00,jkl,1,,ravi,kumar,"APS Corp",abc,def,ghi,"Uttar Pradesh",India,20135
5521702482,disabled,rahul,singh,rahul@gmail.com,1,1,2,0.00,JKL,1,,rahul,singh,APS,ABC,DEF,GHI,"Uttar Pradesh",India,201305
5521651474,disabled,dqsd,wedfwed,abhi1024@gmail.com,1,1,1,0.00,fwdfw,,,dqsd,wedfwed,fedwfqwe,edf,fwdf,wdf,"Andaman and Nicobar",India,
5457674066,disabled,"Abhishek Pratap",SIngh,apsingh@synapseindia.email,1,1,8,0.18,"I am new in this city. Kindly take care for my orders.",,,"Abhishek Pratap",SIngh,"SynapseIndia IT","B 10",NSEZ,Noida,"Uttar Pradesh",Guyana,201305
